Subj,NumRuns,RunsExcluded
REDCAT107,4,
REDCAT108,2,3 4
REDCAT109,3,4
REDCAT110,4,
REDCAT111,4,
REDCAT112,2,3 4
REDCAT115,4,
REDCAT116,3,3
REDCAT117,4,
REDCAT118,3,1
REDCAT119,4,
REDCAT120,2,2 3
REDCAT123,4,
REDCAT124,3,4
REDCAT125,4,
REDCAT127,3,1
REDCAT132,4,
REDCAT133,4,
REDCAT134,4,
REDCAT135,4,
REDCAT139,2,2 4
REDCAT144,4,
REDCAT145,4,
REDCAT147,4,
REDCAT148,4,
REDCAT149,3,4
REDCAT150,3,2
REDCAT152,3,1
REDCAT155,4,
REDCAT157,4,
REDCAT160,4,
REDCAT161,4,
REDCAT164,4,
REDCAT165,3,3
REDCAT166,3,4
REDCAT167,3,4
REDCAT168,3,3
REDCAT170,4,
REDCAT173,4,
REDCAT174,4,
REDCAT175,4,
REDCAT177,3,1
REDCAT181,4,
REDCAT182,4,
REDCAT184,4,
REDCAT187,4,
REDCAT189,4,
REDCAT191,3,3
REDCAT192,2,1 2
REDCMNT123,4,
REDCMNT125,4,
REDCMNT128,4,
REDCMNT129,4,
REDCMNT130,3,3
REDCMNT136,4,
REDCMNT137,4,
REDCMNT138,4,
REDCMNT140,4,
REDCMNT142,4,
REDCMNT144,4,
REDCMNT146,4,
REDCMNT147,4,
REDCMNT151,4,
REDCMNT153,3,2
REDCMNT154,4,
REDCMNT157,4,
REDCMNT161,3,1
REDCMNT162,4,
REDCMNT166,4,
REDCMNT167,4,
REDCMNT168,4,
REDCMNT170,3,2
