,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.000022238,2.56591874859e-06,A,PeerMental,M2,Mitchell,I think I am funny.,0.581632984711,4.0816321294,4.11317696056,8.11899845931,1,Tell a joke,5.051219153383954,0.9380256569038465,1,8.13682845638,11.5368360401,11.5729655973,13.5729673079,13.5777721328,15.5777829666,15.5777838219,25.577806345
1,25.5797273626,4.84673500978e-06,A,CompNM,M2,Computer,Tim is not on vacation.,0.569415221485,4.06942234904,4.09991657914,8.10567221931,N/A,Dresser,N/A,N/A,0,8.12243850064,14.1224484792,14.1618681141,16.1618698247,16.1671884034,18.6671998075,18.6672009479,44.2469257446
2,44.248768074,4.84673455503e-06,A,PeerNM,M2,Mitchell,I play Minecraft.,0.551894275037,4.0519031132,4.0791272228,8.09369166099,2,Computer,5.692234903561257,1.6131008383140397,0,8.11024326047,11.1102501029,11.1465085263,13.1465150836,13.1514102858,17.3514176414,17.3514184967,61.6001840049
3,61.6019944029,4.56163297713e-06,A,PeerMental,M2,Mitchell,I know my brother is hiding in the closet.,0.565415809935,4.06542094177,4.09336322343,8.0949449696,2,Open closet,6.359096294927895,2.2657233780259958,1,8.1122914336,12.3122928021,12.3469372627,14.3469392584,14.3519157147,17.3519293996,17.3519302549,78.9539226621
4,78.9557353409,4.27653048973e-06,A,CompMental,M2,Computer,Tim wants to save money.,0.559812699357,4.05981669079,4.0934841067,8.09494753552,2,Yo-yo,6.095312181042118,2.0018183808706453,1,8.11207817726,11.5120840504,11.554788631,13.5547943331,13.560116333,15.5601314434,15.5601322988,94.5158653588
5,94.5176312809,4.27653094448e-06,A,PeerNM,M2,Mitchell,I am inside of a tent.,0.560232654676,4.06023664611,4.08451365582,8.09980738506,1,Camping,6.033448172438966,1.9489271039678897,1,8.11658221944,14.1166038872,14.1492104384,16.1492158553,16.1544218187,18.6544383547,18.65443921,113.17206878
6,113.173982955,4.56163297713e-06,A,CompMental,M2,Computer,Tim likes to play with animals.,0.572580139335,4.07258726689,4.09928935463,8.10078813611,2,Dog,5.832017302273471,1.732717113763556,1,8.11740901538,12.3174138051,12.352360759,14.352369027,14.3574977277,17.757504171,17.7575053115,130.931486271
7,130.933292393,4.27653094448e-06,A,CompNM,M2,Computer,Tim has ten empty glass bottles.,0.569878797417,4.06988392925,4.09913853565,8.11389912405,2,Recycling,6.4977998674849005,2.3986530638776458,1,8.13153610703,11.131541524,11.1775068168,13.1775108082,13.1830061502,15.6830323796,15.68303352,146.616324202
8,146.618178791,4.27653094448e-06,A,CompMental,M2,Computer,Tim does not know where he's going.,0.564153092958,4.06415394826,4.09617917637,8.11246848197,2,Ask for directions,6.412991701249666,2.3168014058956032,1,8.13022435251,14.1302283439,14.1789565607,16.1789619777,16.184382908,18.1843906058,18.1843917462,164.802568541
9,164.804365825,4.27653094448e-06,A,CompNM,M2,Computer,Tim has a sore throat.,0.566357216902,4.06636434445,4.09645971679,8.09817916725,2,Cough drop,5.54607135077913,1.4496002299065367,1,8.11492207021,14.1149317637,14.1573863099,16.1573897311,16.1626313323,19.1626430214,19.1626441619,183.967008276
10,183.968943264,4.27653094448e-06,A,CompMental,M2,Computer,Tim wants to eat healthy.,0.55633103313,4.05633873089,4.0849698191,8.0923012183,1,Fish,6.342106493598294,2.2571323979705085,1,8.10972237903,12.3097243177,12.3473061848,14.3473090358,14.3528765086,16.3528819256,16.352883066,200.321824334
11,200.323773862,4.27653048973e-06,A,PeerMental,M2,Mitchell,I want to watch a true story.,0.547572983273,4.04758153634,4.07564840759,8.08944706168,1,History Channel,5.672498429087682,1.5968337706799502,1,8.10879750798,11.5088022407,11.5464245922,13.5464297241,13.5513545769,16.0513602789,16.0513614193,216.375133
12,216.377122157,3.99142845708e-06,A,CompNM,M2,Computer,Tim is going on a hike.,0.566083518935,4.06608465934,4.0969056164,8.10348919292,1,Trail mix,6.133790979143214,2.036878520297705,1,8.12011292322,11.5201336216,11.5650232244,13.5650309222,13.5702844976,15.5702953315,15.5702964719,231.947417204
13,231.949339362,4.27653094448e-06,A,CompNM,M2,Computer,Tim just got a new sleeping bag.,0.568568468398,4.06857502574,4.10037131691,8.11490952572,2,Go camping,5.811647045943573,1.7112705971976538,1,8.1315871403,14.131597404,14.1760191543,16.1760277074,16.1833725064,18.6833864764,18.6833876168,250.632724983
14,250.634724403,4.27653048973e-06,A,PeerMental,M2,Mitchell,I like to read.,0.561497937572,4.06150734594,4.12683762526,8.13721049312,2,Long novel,6.621347129991591,2.4945000963648454,1,8.15501796713,11.1550262351,11.1892909398,13.18929151,13.1951463657,17.3951565723,17.3951577128,268.029880405
