,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000248039,3.13612144964e-06,C,CompNM,M1,Computer,Tim is wearing a costume.,0.626449635769,4.12645262934,4.17651080436,8.17813160813,1,School play,6.20621385087361,2.029693353049879,1,8.19814090815,11.5981598389,11.6709009987,13.6708978626,13.6873396837,15.6873525133,15.6873536537,25.6873784575
1,25.7944347557,3.02207918139e-05,C,CompMental,M1,Computer,Tim feels confused during math class.,0.606721161026,4.10672044827,4.14004656853,8.15351477782,1,Math tutor,6.602374213796793,2.4623205177231284,1,8.17371908748,14.1737299213,14.2269781005,16.2269872237,16.2436368841,18.7436501413,18.7436509966,44.5380640846
2,44.6243068106,1.7106107407e-05,C,CompNM,M1,Computer,Tim is inside of a tent.,0.604118751744,4.10412117511,4.13741479376,8.15496737152,1,Camping,5.707169654675454,1.5697451674550393,1,8.17495186769,11.1749686887,11.2473318035,13.2473309482,13.263939839,17.4639467384,17.4639478788,62.08824243
3,62.1128846344,9.40835889196e-06,C,PeerNM,M1,Domenick,I can speak Spanish.,0.59940145727,4.09940445084,4.13259628815,8.13384018732,1,Mexico,6.28224651099481,2.14964081449034,1,8.15342411545,12.3534375723,12.4112610652,14.4112701884,14.4279221296,17.4279398059,17.4279409463,79.5408190234
4,79.5703148009,9.12325776881e-06,C,CompMental,M1,Computer,Tim thinks his friend is mad at him.,0.600810715496,4.10081256866,4.13414268034,8.17397824502,2,Apologize,6.7807832259786665,2.6466225842250424,1,8.21396063713,11.6139710148,11.6895403845,13.68954181,13.706268733,15.7062792817,15.7062804221,95.2765892359
5,95.3124328051,9.12325776881e-06,C,PeerNM,M1,Domenick,My dog is sick.,0.572141163027,4.07214273109,4.1054463283,8.10803049107,1,Veterinarian,6.056805109254128,1.9513482321854099,1,8.12803608477,14.1280443527,14.1809113507,16.180914772,16.1973990732,18.6974089093,18.6974100497,114.009836868
6,114.070806744,1.85316184798e-05,C,CompNM,M1,Computer,Tim is very tall for his age.,0.62135600691,4.12136527272,4.15472532009,8.18230321775,2,Basketball,6.670139491761802,2.5153970655610465,1,8.22248945765,12.422507191,12.4950875533,14.495086698,14.5112448429,17.9112532249,17.9112543653,131.98204771
7,132.011783543,9.6934618341e-06,C,PeerMental,M1,Domenick,I care about the environment.,0.599402597676,4.09940787206,4.13335522915,8.14965278877,1,Recycling,6.661579880252248,2.5282072598893137,1,8.18367797865,11.1836919486,11.235254891,13.2352594526,13.2519421848,15.7519537314,15.7519548718,147.763731857
8,147.802937347,1.02636640804e-05,C,CompMental,M1,Computer,Tim wants to borrow a book. ,0.605363221126,4.10536963592,4.13870487943,8.15623949578,2,Library,5.605147113956264,1.4664325410649326,1,8.17655071861,14.1765703906,14.2436628283,16.243664539,16.2603147695,18.2603216119,18.2603227524,166.063252972
9,166.102768367,9.40835889196e-06,C,CompNM,M1,Computer,Tim's computer screen is very dark. ,0.628480986132,4.12848654562,4.16181009996,8.18136323709,1,Brightness,6.349878076212917,2.1880577125884884,1,8.20111280937,14.2011324814,14.2588333805,16.2588399379,16.2754146164,19.2754203185,19.275421744,185.378183554
